Gene ID,Gene class (BV-BRC),Gene subsystem (BV-BRC),Gene annotation (BV-BRC),logFC,logCPM,PValue,FDR,Bt_1_mono_rep1,Bt_1_mono_rep2,Bt_1_mono_rep3,Bt_1_mono_rep4,Bt_1_mono_rep5,Bil_Bt_rep1,Bil_Bt_rep2,Bil_Bt_rep3,Bil_Bt_rep4,Bil_Bt_rep5,Bil_Bt_rep6
QI0072_10,#N/A,#N/A,FIG00899284: hypothetical protein,1.148051559,3.119527597,3.62E-05,9.09E-05,154.805,124.549,154.153,110.523,154.157,260.253,316.452,115.691,119.959,120.076,96.202
QI0072_1004,#N/A,#N/A,Inner membrane protein YhiM,-1.157438163,6.148614435,2.38E-09,9.97E-09,3832.832,1862.001,2637.036,2210.461,3120.916,538.23,750.282,719.634,608.719,690.679,550.273
QI0072_1006,#N/A,#N/A,DnaK suppressor protein putative,1.145954246,6.341255636,1.34E-10,6.24E-10,1152.562,938.266,1389.428,1372.758,1915.223,2382.389,2303.431,1348.089,1268,1208.448,969.712
QI0072_101,Membrane Transport,Trk and Ktr potassium uptake systems,KtrAB potassium uptake system integral membrane component KtrB,-1.986348344,7.429069353,1.82E-34,3.49E-33,9168.515,7095.117,7170.148,6526.025,8773.683,1219.179,1388.82,1008.86,1052.867,949.083,720.55
QI0072_1010,#N/A,#N/A,RNA methyltransferase TrmH family,1.421603646,7.443063935,1.46E-26,2.00E-25,2920.953,1660.648,2468.496,2219.757,3159.71,3606.231,4598.411,3660.918,3186.359,3105.654,2782.149
QI0072_1015,#N/A,#N/A,DoxX family protein,-2.792307095,8.334122243,2.49E-66,1.24E-64,18182.224,13360.947,16273.368,14420.676,19324.766,960.791,1406.661,1318.676,1304.682,1266.085,1121.71
QI0072_102,Membrane Transport,Trk and Ktr potassium uptake systems,KtrAB potassium uptake system peripheral membrane component KtrA,-1.988548015,6.41894409,5.35E-10,2.36E-09,7636.286,2410.015,2986.448,2551.327,3353.683,765.834,659.196,456.879,418.371,440.92,398.274
QI0072_1021,#N/A,#N/A,MBL-fold metallo-hydrolase superfamily,1.159491078,7.739810076,2.93E-15,2.06E-14,3728.876,2438.038,3667.802,3019.242,4735.992,5223.718,6422.939,3858.965,3225.023,3451.474,2824.478
QI0072_1038,#N/A,#N/A,hypothetical protein,-2.938360793,8.02126261,3.04E-17,2.46E-16,26598.184,8803.508,9192.629,10039.005,9202.464,1365.629,1100.539,807.873,694.971,803.071,764.802
QI0072_1039,#N/A,#N/A,hypothetical protein,-3.302921766,3.580311014,1.43E-17,1.18E-16,1206.8,408.934,421.35,482.376,468.597,49.439,60.098,26.472,21.811,29.779,18.278
QI0072_1040,#N/A,#N/A,hypothetical protein,-3.41242793,2.679066273,2.24E-20,2.21E-19,583.061,235.604,257.949,225.178,302.189,26.119,28.171,14.706,9.914,9.606,11.544
QI0072_1041,#N/A,#N/A,Two-component system sensor histidine kinase,-1.337272788,5.350829819,5.35E-14,3.45E-13,2117.549,1293.229,1610.38,1283.927,1824.362,318.087,487.355,396.093,308.325,313.159,253.01
QI0072_1043,#N/A,#N/A,outer membrane protein TolC putative,2.55704622,3.038931488,3.19E-11,1.57E-10,9.04,58.123,94.547,51.646,105.154,147.383,261.049,183.34,200.263,188.28,155.847
QI0072_1044,#N/A,#N/A,RND efflux system membrane fusion protein,1.972727157,1.330226532,4.59E-05,0.000114071,0,17.644,43.163,24.79,56.15,59.7,69.488,38.237,59.484,48.991,48.101
QI0072_1052,#N/A,#N/A,putative chitobiase,-1.456976711,2.437239177,4.93E-11,2.39E-10,127.686,176.444,269.253,213.816,326.691,40.111,46.951,31.374,50.561,41.306,36.557
QI0072_1053,Membrane Transport,"Utilization systems for glycans and polysaccharides (PULs, SUS)",Cell surface glycan-binding lipoprotein utilization system for glycans and polysaccharides (PUL) SusD family,-1.397601015,2.218557759,0.000306129,0.000672714,30.509,151.534,228.146,226.211,323.628,32.648,49.768,30.393,38.665,31.7,34.633
QI0072_1056,#N/A,#N/A,hypothetical protein,1.731408875,4.5667594,8.01E-05,0.000191844,331.079,167.103,265.142,267.528,420.614,1083.922,1170.027,290.207,188.366,254.562,218.378
QI0072_1057,#N/A,#N/A,hypothetical protein,1.650707921,4.329100517,0.005242334,0.009309564,458.765,74.729,260.004,176.63,307.293,1178.135,840.428,205.89,209.185,162.343,97.164
QI0072_1058,"Fatty Acids, Lipids, and Isoprenoids",Bacterial Sphingolipids,Serine palmitoyltransferase (EC 2.3.1.50),1.296996735,9.6423235,2.73E-21,2.84E-20,13879.328,7545.567,12171.883,10664.958,17497.341,14283.139,18237.765,17777.122,15162.468,15377.456,12553.341
QI0072_1066,Iron acquisition and metabolism,Fet iron export system,Probable iron export ATP-binding protein FetA,1.374195863,3.65787671,0.000193774,0.000439629,256.501,141.155,155.18,150.807,194.993,517.708,464.818,163.731,153.667,129.682,141.416
QI0072_1071,#N/A,#N/A,FIG137478: Hypothetical protein,1.091801979,8.512147868,0.001491165,0.002924978,8117.65,3535.103,5730.363,5372.247,8352.048,13521.968,14319.209,4644.288,3671.153,4172.893,3440.168
QI0072_1072,#N/A,#N/A,Efflux transport system outer membrane factor (OMF) lipoprotein,-2.969118625,5.464249829,5.00E-72,2.91E-70,2328.852,1946.071,2431.499,2144.354,2345.026,179.099,165.269,152.947,159.615,132.564,122.176
QI0072_1073,#N/A,#N/A,RND efflux system membrane fusion protein,-3.432705641,4.92651204,1.25E-71,7.18E-70,1183.071,1415.702,1995.761,1619.628,1886.638,94.213,67.61,95.102,77.329,76.849,58.683
QI0072_1074,#N/A,#N/A,RND efflux system inner membrane transporter,-3.436206626,7.07393324,1.62E-74,1.01E-72,4472.391,6631.173,8897.684,7464.954,8773.683,338.609,350.257,372.563,328.153,336.214,345.364
QI0072_1079,Nucleosides and Nucleotides,De Novo Pyrimidine Synthesis,Dihydroorotate dehydrogenase (NAD(+)) electron transfer subunit (EC 1.3.1.14),1.051840634,7.329746001,4.22E-16,3.17E-15,2315.293,1955.412,3115.936,2779.603,3920.286,3789.062,4499.813,2998.149,2491.388,2423.621,2158.763
QI0072_1081,#N/A,#N/A,hypothetical protein,1.426450917,0.052826557,0.000829454,0.001694911,10.17,13.493,12.332,18.593,13.272,22.387,50.707,9.804,11.897,20.173,8.658
QI0072_1082,#N/A,#N/A,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),1.335551096,5.004304567,5.80E-16,4.33E-15,550.292,263.628,456.291,475.146,694.217,646.435,938.087,704.928,561.132,534.1,461.767
QI0072_1086,"Protein Fate (folding, modification, targeting, degradation)",Protein chaperones,Chaperone protein HtpG,-1.565689334,10.43150299,0.000289052,0.00063633,150208.157,19427.5,35291.679,33838.646,44655.534,9085.539,12571.682,12881.844,10177.71,9607.068,8221.385
