Gene ID,Gene class (BV-BRC),Gene subsystem (BV-BRC),Gene annotation (BV-BRC),sampleA,sampleB,logFC,logCPM,PValue,FDR,Bil_mono_rep1,Bil_mono_rep2,Bil_mono_rep3,Bil_mono_rep4,Bil_mono_rep5,Bil_mono_rep6,Bil_Bt_rep1,Bil_Bt_rep2,Bil_Bt_rep3,Bil_Bt_rep4,Bil_Bt_rep5,Bil_Bt_rep6
QI0013_100,#N/A,#N/A,gluconate transporter,Bil_Bt,Bil_mono,-1.138482565,2.332681243,6.77788E-08,1.57665E-07,96.961,128.82,268.744,163.178,214.129,347.053,51.715,60.514,57.45,49.451,36.509,35.646
QI0013_1001,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.318236758,5.65589188,4.55111E-64,6.41162E-63,520.063,624.779,1091.635,955.757,1043.162,906.406,941.046,1354.956,1284.354,1052.728,1247.07,1129.121
QI0013_1014,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.083396852,2.82751189,3.25397E-05,6.19664E-05,277.661,256.721,255.418,235.331,256.497,269.506,94.952,98.336,58.424,55.156,72.057,46.244
QI0013_1019,#N/A,#N/A,Cobalamine biosynthesis protein,Bil_Bt,Bil_mono,-1.027088179,1.442494215,4.88102E-05,9.14706E-05,95.198,82.813,96.615,119.886,80.155,105.514,33.912,30.257,21.422,23.774,21.137,29.866
QI0013_1022,Membrane Transport,Tricarboxylate transport system,Tripartite tricarboxylate transporter TctA family,Bil_Bt,Bil_mono,-1.500977503,3.691141033,4.91886E-40,3.72734E-39,324.379,382.78,724.055,532.826,666.433,732.244,88.17,104.009,125.612,90.343,130.664,105.012
QI0013_1023,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.635202069,1.950280595,1.61272E-16,5.84465E-16,91.672,81.893,196.561,170.948,243.901,222.47,32.216,34.985,33.107,20.921,27.862,22.159
QI0013_1024,Membrane Transport,Tricarboxylate transport system,Tripartite tricarboxylate transporter TctC family,Bil_Bt,Bil_mono,-1.228206594,3.745231546,1.3843E-20,5.91731E-20,302.342,358.857,684.077,599.429,603.454,791.993,113.604,158.85,145.086,129.332,136.428,84.78
QI0013_1028,#N/A,#N/A,branched-chain amino acid transport,Bil_Bt,Bil_mono,2.049709019,1.452964536,3.44617E-32,2.1115E-31,16.748,22.083,43.31,24.421,45.803,43.223,44.933,86.989,87.636,65.617,91.272,66.476
QI0013_1029,#N/A,#N/A,AzlC family protein,Bil_Bt,Bil_mono,1.136407132,2.34153275,3.08939E-17,1.14557E-16,47.599,66.25,113.272,104.345,125.958,115.684,96.648,135.212,125.612,80.833,136.428,107.902
QI0013_1038,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,1.403727321,-0.427339611,1.5667E-06,3.32011E-06,11.459,7.361,12.216,16.651,6.87,11.441,14.412,23.638,22.396,15.216,13.451,10.598
QI0013_1041,#N/A,#N/A,Uncharacterized MFS-type transporter,Bil_Bt,Bil_mono,2.378171526,2.633670399,2.00506E-48,1.87874E-47,40.547,58.889,76.625,39.962,67.559,71.19,151.754,223.147,191.825,135.989,173.898,155.11
QI0013_1052,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.129699761,9.301474148,2.27471E-33,1.43778E-32,17170.909,19666.264,30640.195,27075.332,27675.292,29870.707,6400.809,7517.972,6742.13,5621.206,6475.539,5442.324
QI0013_1054,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.673488638,0.404530392,0.00029424,0.000513861,66.991,64.41,45.531,41.072,32.062,30.51,16.108,10.401,8.764,8.559,7.686,1.927
QI0013_1055,#N/A,#N/A,hypothetical protein,Bil_Bt,Bil_mono,-1.326400564,4.832758224,7.85007E-08,1.81865E-07,1167.939,1022.281,1161.598,1090.073,1116.447,1150.487,301.813,431.165,220.064,157.862,214.25,229.292
QI0013_1060,Membrane Transport,Potassium-transporting ATPase,Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1),Bil_Bt,Bil_mono,1.425597072,1.766399185,1.77109E-12,5.33996E-12,28.207,32.205,72.183,47.732,79.01,80.089,83.083,63.351,82.767,65.617,118.174,70.329
